CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,LastUpdated,BikeBuyer,AvgMonthSpend
25924,,Hannah,,Robinson,,536 Beech Ct.,,Redwood City,California,United States,94063,609-555-0161,1998-11-20,Partial College,Clerical,F,S,0,1,0,0,77258,2017-03-06,0,54.02
23033,,Alex,J,Turner,,9973 Mcnutt Ave,,Lakewood,California,United States,90712,668-555-0160,1981-04-21,Bachelors,Management,M,M,1,3,0,0,102698,2017-03-06,0,58.29
20029,,Jan,M,Evans,,7787 Olive St.,,Los Angeles,California,United States,90012,163-555-0164,1984-10-24,Bachelors,Management,F,M,1,1,1,2,108198,2017-03-06,1,52.66
22031,,Jorge,,Cai,,7952 Quartermaster,,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0191,1960-08-12,Bachelors,Professional,M,M,1,2,0,2,133762,2017-03-06,0,52.5
23770,,Jamie,,Carlson,,8191 Scenic Ct.,,Maidenhead,England,United Kingdom,SL67RJ,1 (11) 500 555-0165,1991-05-12,Partial High School,Manual,M,S,0,1,0,0,30526,2017-03-07,0,49.61
23770,,Jamie,,Carlson,,8191 Scenic Ct.,,Maidenhead,England,United Kingdom,SL67RJ,1 (11) 500 555-0163,1991-05-12,Partial High School,Manual,M,S,0,1,0,0,30526,2017-03-06,0,49.61
23737,,Elena,,Velez Amezaga,,9613 Camino Royale,,Beverly Hills,California,United States,90210,545-555-0171,1971-03-14,Partial College,Skilled Manual,F,M,1,2,0,2,56353,2017-03-06,1,49.04
17127,,Makayla,A,Gray,,9442 Lacanda,,Puyallup,Washington,United States,98371,133-555-0124,1965-06-02,High School,Clerical,F,S,1,3,1,1,79019,2017-03-06,1,50.48
28130,,Joshua,M,Taylor,,1145 Paraiso Ct.,,Langley,British Columbia,Canada,V3A 4R2,926-555-0140,1993-02-02,Partial College,Skilled Manual,M,S,0,2,0,0,55387,2017-03-06,1,51.0
28455,,Raymond,E,Sara,,Zollstr 68,Verkaufsabteilung,Darmstadt,Hessen,Germany,64283,1 (11) 500 555-0165,1981-06-06,Bachelors,Management,M,M,1,2,0,2,113276,2017-03-06,0,58.69
20161,,Albert,G,Sanz,,"87, rue de la Comédie",,Orly,Val de Marne,France,94310,1 (11) 500 555-0118,1963-06-20,Partial College,Management,M,S,1,1,0,1,109259,2017-03-06,0,52.3
21325,,Angela,,Hayes,,8273 Glacier Drive,,El Cajon,California,United States,92020,848-555-0112,1980-07-10,High School,Clerical,F,M,1,0,0,2,83845,2017-03-06,0,50.38
12128,,Kristy,E,Munoz,,Altendorfer Straße 903,,Berlin,Hessen,Germany,12171,1 (11) 500 555-0146,1976-12-16,High School,Skilled Manual,F,M,1,0,2,2,59527,2017-03-06,1,53.22
23679,,Jacob,G,Harris,,7987 Seawind Dr.,,Oak Bay,British Columbia,Canada,V8P,518-555-0167,1961-11-05,Bachelors,Management,M,S,1,1,0,1,108360,2017-03-06,0,51.88
26799,,Ryan,G,Russell,,1104 O St.,,Coronado,California,United States,92118,696-555-0187,1996-09-19,Partial College,Clerical,M,M,0,1,0,0,87504,2017-03-06,0,49.72
15726,,Faith,F,Barnes,,6176 Crow Street,,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0195,1993-02-27,Bachelors,Skilled Manual,F,M,0,0,0,0,55461,2017-03-06,1,48.76
15473,,Abigail,,Jenkins,,4838 Second Street,,Coronado,California,United States,92118,135-555-0132,1989-04-15,Bachelors,Professional,F,S,1,2,0,0,137464,2017-03-06,1,52.03
28685,,Marshall,J,Zhu,,"24, boulevard Tremblay",,Drancy,Seine Saint Denis,France,93700,1 (11) 500 555-0189,1990-03-16,High School,Clerical,M,M,1,2,0,1,87676,2017-03-06,1,49.89
12302,,Kevin,,Coleman,,Reiherweg 5,,Frankfurt,Hessen,Germany,60323,1 (11) 500 555-0167,1966-03-02,Bachelors,Management,M,M,1,3,0,2,104187,2017-03-06,1,51.15
23523,,Steve,V,Liu,,8358 Azalea Avenue,,Findon,South Australia,Australia,5023,1 (11) 500 555-0135,1983-08-19,Bachelors,Clerical,M,S,0,1,0,0,78222,2017-03-06,1,53.53
18713,,Rosa,,Yang,,5673 Arlington Circle,,Newcastle,New South Wales,Australia,2300,1 (11) 500 555-0178,1986-11-15,Graduate Degree,Clerical,F,M,1,2,0,1,77383,2017-03-06,0,50.59
24082,,Regina,A,Rodriguez,,"56, avenue de l´Europe",,Morangis,Essonne,France,91420,1 (11) 500 555-0119,1984-12-13,High School,Skilled Manual,F,M,1,1,2,2,60700,2017-03-06,1,49.29
27886,,Denise,P,Gonzalez,,"80, avenue de Malakoff",,Pantin,Seine Saint Denis,France,93500,1 (11) 500 555-0116,1980-09-24,High School,Manual,F,S,0,0,0,0,30913,2017-03-06,0,49.0
21711,,Hailey,J,Gray,,44 Garcia,,West Covina,California,United States,91791,643-555-0126,1978-11-11,Partial College,Clerical,F,S,1,2,0,0,86952,2017-03-06,1,54.71
22366,,Logan,C,Henderson,,1695 Valley High Dr,,Sooke,British Columbia,Canada,V0,154-555-0134,1978-07-16,Graduate Degree,Skilled Manual,M,M,1,2,1,2,58567,2017-03-06,1,55.64
15010,,Cory,J,Suri,,9342 Temple Drive,,Berkeley,California,United States,94704,109-555-0114,1997-09-12,Partial College,Clerical,M,M,0,0,0,0,77478,2017-03-06,0,50.55
22296,,Benjamin,M,Johnson,,4137 Garcia Ranch Road,,Lemon Grove,California,United States,91945,913-555-0137,1988-03-23,Bachelors,Clerical,M,M,1,2,0,1,78406,2017-03-06,0,50.16
23237,,Caleb,C,Young,,Helsenbergbogen 2,,Kassel,Hessen,Germany,34117,1 (11) 500 555-0192,1990-12-27,Partial College,Clerical,M,S,0,1,0,0,85318,2017-03-06,0,51.02
13832,,Priscilla,R,Raji,,"51, rue Henri Gagnon",,Courbevoie,Hauts de Seine,France,92400,1 (11) 500 555-0125,1996-04-27,High School,Skilled Manual,F,S,0,0,0,0,52928,2017-03-06,1,52.17
26026,,Cindy,E,Srini,,9099 Warmcastle Ct.,,Townsville,Queensland,Australia,4810,1 (11) 500 555-0153,1987-05-14,Bachelors,Clerical,F,S,0,2,0,0,79224,2017-03-06,1,52.31
17813,,Jay,K,Nicholls,,2080 Mountain View Dr.,,Woolston,England,United Kingdom,WA1 4SY,1 (11) 500 555-0187,1983-07-03,Partial College,Manual,M,M,0,0,0,1,33076,2017-03-06,1,53.13
26369,,Kate,J,Nath,,"1101, rue Lauriston",,Sèvres,Hauts de Seine,France,92310,1 (11) 500 555-0171,1985-09-24,High School,Skilled Manual,F,M,1,1,0,2,56641,2017-03-06,0,48.89
18824,,Elijah,L,Collins,,2535 Park Lane,,La Jolla,California,United States,92806,620-555-0143,1982-08-24,High School,Manual,M,M,1,0,0,1,27203,2017-03-06,0,52.46
21064,,Colleen,C,Sun,,"8188, place du Tertre",,Saint Ouen,Somme,France,80610,1 (11) 500 555-0116,1986-11-20,High School,Clerical,F,S,0,3,0,0,77098,2017-03-06,0,50.21
28532,,Tony,R,Xie,,"4757, rue Saint-Lazare",,Paris,Seine (Paris),France,75008,1 (11) 500 555-0112,1988-12-06,Bachelors,Management,M,M,1,3,2,2,103200,2017-03-06,1,53.97
16183,,Tanya,,Carlson,,9435 Vine Hill Way,,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0136,1984-11-04,Bachelors,Skilled Manual,F,S,0,2,0,0,53784,2017-03-06,0,50.85
25700,,Faith,B,Coleman,,"2181, rue Malar",,Saint-Denis,Seine Saint Denis,France,93400,1 (11) 500 555-0165,1974-08-18,Partial College,Manual,F,S,0,1,0,0,25826,2017-03-06,0,47.53
21746,,Xavier,,Hernandez,,144 Santa Monica,,Lakewood,California,United States,90712,404-555-0118,1982-03-16,High School,Manual,M,M,1,0,1,1,30925,2017-03-06,1,50.48
26560,,Lindsey,,Shen,,589 Woodcrest Drive,,Newcastle,New South Wales,Australia,2300,1 (11) 500 555-0163,1971-06-04,Partial High School,Manual,F,M,1,1,1,2,30288,2017-03-06,0,50.57
16988,,Brian,R,Bailey,,9013 Ramsay Circle,,Oakland,California,United States,94611,621-555-0190,1985-04-19,Bachelors,Manual,M,S,0,0,0,0,34685,2017-03-06,1,48.1
18562,,Mary,P,Wright,,5745 St. Paul Way,,Novato,California,United States,94947,160-555-0188,1989-06-16,Graduate Degree,Skilled Manual,F,M,0,1,1,1,58213,2017-03-06,1,51.99
14996,,Ross,R,Gill,,Unter Linden 934,,Berlin,Hamburg,Germany,10210,1 (11) 500 555-0114,1995-10-14,Partial College,Management,M,S,0,0,0,0,108342,2017-03-06,1,51.43
26741,,Nichole,J,Pal,,2765 Robbins Place,,Lane Cove,New South Wales,Australia,1597,1 (11) 500 555-0197,1987-08-18,Bachelors,Professional,F,M,1,2,1,1,130385,2017-03-06,1,55.52
19490,,Kristina,D,Smith,,"11, rue de Cambrai",,Paris,Seine (Paris),France,75019,1 (11) 500 555-0167,1984-11-16,Partial College,Skilled Manual,F,S,0,2,0,0,58227,2017-03-06,1,50.76
12720,,Nicolas,J,Chande,,"44, rue du Départ",,Suresnes,Hauts de Seine,France,92150,1 (11) 500 555-0115,1994-11-02,Partial College,Skilled Manual,M,S,0,1,0,0,52156,2017-03-06,1,47.68
14050,,Manuel,M,Lopez,,2396 Ancona Ct.,,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0146,1986-05-16,Graduate Degree,Professional,M,S,1,2,0,0,131458,2017-03-06,1,57.1
11926,,Eduardo,,Foster,,609 Power Ave.,,Oregon City,Oregon,United States,97045,522-555-0169,1998-03-18,Partial College,Manual,M,S,0,1,0,0,33510,2017-03-06,0,46.25
28023,,Andrea,D,James,,4645 Rossmor Parkway,,Corvallis,Oregon,United States,97330,514-555-0198,1966-09-15,High School,Skilled Manual,F,S,1,1,0,1,56785,2017-03-06,0,51.34
22541,,Stefanie,,Martinez,,Im Himmelsweg 27,,Paderborn,Hamburg,Germany,33041,1 (11) 500 555-0120,1993-12-26,Partial College,Skilled Manual,F,S,0,1,0,0,58201,2017-03-06,0,51.29
23192,,Emily,E,Garcia,,8180 Loveridge Circle,,Palo Alto,California,United States,94303,300-555-0120,1985-04-08,Bachelors,Clerical,F,M,1,2,0,1,82359,2017-03-07,1,49.64
23192,,Emily,E,Garcia,,8180 Loveridge Circle,,Palo Alto,California,United States,94303,300-555-0122,1985-04-08,Bachelors,Clerical,F,M,1,2,0,1,82359,2017-03-06,1,49.64
24957,,Anna,A,Howard,,8290 Margaret Ct.,,Lakewood,California,United States,90712,869-555-0119,1965-04-21,Partial High School,Skilled Manual,F,M,1,2,1,2,55654,2017-03-06,1,50.98
11867,,Nathaniel,C,James,,4268 Weaver Court,,National City,California,United States,91950,112-555-0116,1980-04-24,High School,Manual,M,M,1,1,1,2,33167,2017-03-06,0,58.85
11929,,Virginia,,Gonzalez,,7566 Keller Ridge Dr.,,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0188,1966-02-12,Partial College,Management,F,S,1,3,0,1,107883,2017-03-06,1,52.81
27994,,Jodi,L,Rai,,5680 Camelback Ct.,,Beaverton,Oregon,United States,97005,622-555-0178,1957-07-04,High School,Clerical,F,M,1,1,2,2,80056,2017-03-07,1,53.16
21068,,Lawrence,B,Jimenez,,5097 Bourton Ct.,,Bury,England,United Kingdom,PE17,1 (11) 500 555-0119,1985-01-28,Partial High School,Skilled Manual,M,S,0,2,0,0,54577,2017-03-06,1,49.8
26332,,Aaron,W,Mitchell,,3773 Lakefield Place,,Lebanon,Oregon,United States,97355,116-555-0185,1986-09-26,Bachelors,Manual,M,M,0,0,1,1,36070,2017-03-06,1,59.05
20232,,Franklin,L,Chande,,867 Calico Way,,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0166,1984-05-11,Bachelors,Skilled Manual,M,M,1,2,1,2,54049,2017-03-06,1,54.19
15029,,Alejandro,W,Ye,,5572 Running Springs Road,,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0199,1999-06-04,Partial College,Management,M,S,0,1,0,0,112726,2017-03-06,0,55.8
28907,,Blake,,Jenkins,,1156 Dublin Court,,Runcorn,England,United Kingdom,TY31,1 (11) 500 555-0111,1971-02-19,Partial College,Manual,M,M,1,1,0,2,29749,2017-03-06,0,48.95
11887,,Joseph,,White,,8656 Lakespring Place,,Coronado,California,United States,92118,149-555-0116,1978-04-05,Bachelors,Skilled Manual,M,M,1,2,2,2,56820,2017-03-06,1,55.26
16809,,Bailey,A,Sanders,,3910 Fawn Glen Circle,,Redwood City,California,United States,94063,532-555-0181,1970-06-24,Partial College,Management,F,S,1,3,0,0,102647,2017-03-06,1,51.75
18033,,Evelyn,W,Patel,,Postfach 44 11 11,,Solingen,Nordrhein-Westfalen,Germany,42651,1 (11) 500 555-0193,1996-05-20,Partial College,Clerical,F,S,0,2,0,0,82258,2017-03-06,1,51.48
27605,,Miguel,,Martinez,,5656 Via Delaware,,Sedro Woolley,Washington,United States,98284,455-555-0163,1977-01-22,High School,Skilled Manual,M,M,1,1,2,2,54200,2017-03-06,1,55.34
14106,,Melissa,,Hughes,,9391 80th St,,Oakland,California,United States,94611,976-555-0182,1996-01-13,Partial College,Skilled Manual,F,S,0,2,0,0,60908,2017-03-06,1,51.97
29293,,Nuan,,Wu,,7717 Amador Valley Blvd.,,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0113,1987-06-02,Bachelors,Management,M,S,1,2,0,0,105007,2017-03-06,1,54.5
17669,,Olivia,N,Rivera,,8490 Longbrood Way,,Sedro Woolley,Washington,United States,98284,196-555-0192,1976-10-10,High School,Manual,F,M,1,0,1,1,32319,2017-03-06,1,48.12
23540,,Bruce,,Lopez,,324 Mepham Dr.,,Gold Coast,Queensland,Australia,4217,1 (11) 500 555-0119,1982-02-05,Partial College,Skilled Manual,M,S,0,1,0,0,52311,2017-03-06,0,57.27
19710,,Arianna,S,Gonzales,,7886 Ruth Drive,,Port Hammond,British Columbia,Canada,V6B 3P7,223-555-0195,1980-10-07,Partial College,Clerical,F,S,1,2,0,0,82851,2017-03-06,0,54.25
21495,,James,,Hughes,,8225 Hidden Oak Ct,,Olympia,Washington,United States,98501,525-555-0165,1971-08-02,High School,Manual,M,M,1,1,2,2,29111,2017-03-06,0,53.22
14773,,Noah,,Ross,,"7, route de Marseille",,Villeneuve-d'Ascq,Nord,France,59491,1 (11) 500 555-0136,1988-04-27,Graduate Degree,Clerical,M,M,1,1,1,1,81985,2017-03-06,1,52.19
29082,,Sabrina,L,Ramos,,868 Aspen Dr.,,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0143,1969-01-22,Partial High School,Manual,F,S,1,0,0,0,33954,2017-03-06,0,46.19
14021,,Michelle,,Richardson,,2676 Santa Fe Street,,Kirkland,Washington,United States,98033,590-555-0195,1995-11-02,Partial College,Manual,F,S,0,0,0,0,29016,2017-03-06,0,45.76
23689,,Kayla,D,Hall,,7034 Carson,,West Covina,California,United States,91791,155-555-0190,1967-02-26,High School,Manual,F,M,1,0,1,2,33152,2017-03-06,1,50.02
13485,,Thomas,J,Allen,,288 Almaden Dr.,,Chula Vista,California,United States,91910,599-555-0119,1957-10-25,Graduate Degree,Clerical,M,M,1,1,2,2,80331,2017-03-06,1,53.77
14179,,Claudia,J,Xu,,Lützowplatz 5538,,Braunschweig,Nordrhein-Westfalen,Germany,38001,1 (11) 500 555-0140,1966-04-26,Bachelors,Clerical,F,S,1,1,1,1,79235,2017-03-06,0,51.62
15084,,Adrienne,,Serrano,,Winterfeldtstr 2529,,Kassel,Hessen,Germany,34117,1 (11) 500 555-0186,1989-09-20,Graduate Degree,Manual,F,S,0,1,0,0,35390,2017-03-06,0,50.42
27193,,Daniel,V,Miller,,6885 Auburn,,Lincoln Acres,California,United States,91950,623-555-0156,1994-05-18,Graduate Degree,Professional,M,S,0,3,0,0,136457,2017-03-06,0,52.17
20423,,Alicia,H,Goel,,7405 Jacqueline Drive,,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0147,1972-10-10,High School,Skilled Manual,F,S,1,1,0,0,53549,2017-03-06,0,53.1
18300,,Diane,L,Ramos,,3381 Paso Nogal,,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0148,1981-07-12,Partial College,Clerical,F,M,1,0,1,2,85674,2017-03-06,1,50.64
21781,,Jared,,Rivera,,2096 Trinity Ave.,,Lynnwood,Washington,United States,98036,432-555-0138,1967-06-22,Bachelors,Professional,M,M,1,3,0,2,129242,2017-03-06,1,52.48
28780,,Melissa,L,Griffin,,1874 Orchid Ct,,Seattle,Washington,United States,98104,844-555-0182,1976-01-07,Partial High School,Skilled Manual,F,M,1,1,2,2,61829,2017-03-06,1,52.85
25162,,Bryan,D,Morris,,9634 S. Silver Spring,,Torrance,California,United States,90505,729-555-0131,1984-11-11,Bachelors,Management,M,S,1,3,0,0,111980,2017-03-06,1,59.52
26829,,Morgan,,Evans,,Postfach 55 00 00,,Bottrop,Nordrhein-Westfalen,Germany,46236,1 (11) 500 555-0110,1987-09-23,Bachelors,Skilled Manual,F,M,1,0,1,1,54675,2017-03-07,1,52.61
26829,,Morgan,,Evans,,Postfach 55 00 00,,Bottrop,Nordrhein-Westfalen,Germany,46236,1 (11) 500 555-0119,1987-09-23,Bachelors,Skilled Manual,F,M,1,0,1,1,54675,2017-03-06,1,52.61
11345,,Robin,,Ramos,,"6, rue de l´Esplanade",,Tremblay-en-France,Seine Saint Denis,France,93290,1 (11) 500 555-0111,1977-03-12,Partial College,Management,F,S,1,3,0,0,106648,2017-03-06,1,53.81
22539,,Randall,D,Sanz,,3001 Mt. Etna,,Woolston,England,United Kingdom,WA1 4SY,1 (11) 500 555-0177,1993-03-11,Partial High School,Skilled Manual,M,S,0,1,0,0,58037,2017-03-06,0,52.65
26226,,Michele,C,Andersen,,Zimmerstr 57,,München,Nordrhein-Westfalen,Germany,80074,1 (11) 500 555-0182,1992-11-22,Partial College,Management,F,M,1,2,0,1,106062,2017-03-06,1,51.69
22654,,Orlando,,Romero,,"8, rue de la Comédie",,Colombes,Hauts de Seine,France,92700,1 (11) 500 555-0112,1985-09-22,High School,Manual,M,S,0,1,0,0,28008,2017-03-06,0,56.39
20389,,Lee,,Romero,,5627 Crystal Avenue,,Ballard,Washington,United States,98107,461-555-0172,1960-02-05,Graduate Degree,Clerical,M,M,1,2,0,3,86828,2017-03-06,0,50.62
27716,,Albert,E,Ramos,,9993 Oak Grove Rd.,,Lavender Bay,New South Wales,Australia,2060,1 (11) 500 555-0145,1981-10-03,Partial College,Skilled Manual,M,S,0,2,0,0,61109,2017-03-06,1,57.61
23670,,Mya,D,Henderson,,6985 Matterhorn Ct,,Salem,Oregon,United States,97301,647-555-0186,1958-12-05,Graduate Degree,Manual,F,M,1,1,1,2,35142,2017-03-06,0,47.02
28410,,Cheryl,R,Gill,,466 Ranch Road,,Bracknell,England,United Kingdom,RG12 8TB,1 (11) 500 555-0121,1997-04-21,High School,Skilled Manual,F,M,0,2,0,0,59673,2017-03-06,0,48.54
21755,,Lucas,R,White,,2581 Browse Ct,,Coronado,California,United States,92118,703-555-0112,1963-03-24,Bachelors,Professional,M,M,1,3,1,2,133272,2017-03-06,1,56.63
12254,,Calvin,,Deng,,"100, rue des Rosiers",,Pantin,Seine Saint Denis,France,93500,1 (11) 500 555-0134,1963-02-26,Partial College,Clerical,M,S,1,3,0,1,81957,2017-03-06,0,50.09
17082,,Morgan,W,Smith,,Moritzstr 32,,Hamburg,Hamburg,Germany,20354,1 (11) 500 555-0129,1994-05-23,Partial College,Management,F,S,0,1,0,0,103314,2017-03-06,0,52.78
25122,,Susan,L,Zhao,,5527 Liscome Way,,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0167,1987-03-16,Graduate Degree,Management,F,S,1,2,0,0,103546,2017-03-06,1,51.61
25619,,Rafael,C,Raji,,"65, avenue du Port",,Tremblay-en-France,Seine Saint Denis,France,93290,1 (11) 500 555-0176,1988-03-23,Bachelors,Skilled Manual,M,M,0,0,1,1,58317,2017-03-06,1,48.05
24940,,Fernando,,Martin,,7559 Worth Ct.,,Concord,California,United States,94519,327-555-0191,1960-06-26,Bachelors,Skilled Manual,M,M,1,2,0,2,55825,2017-03-06,0,48.53
13117,,Evelyn,,Rodriguez,,9236 Hanson Lane,,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0122,1986-01-11,Graduate Degree,Manual,F,S,0,1,0,0,36367,2017-03-06,0,48.33
12460,,Dominique,,Malhotra,,9838 Westchester Pl.,,London,England,United Kingdom,W1Y 3RA,1 (11) 500 555-0140,1988-11-23,Bachelors,Management,F,S,0,2,0,0,107852,2017-03-06,1,54.89
13619,,Arturo,,Xu,,6111 Guadalajara,,Rhodes,New South Wales,Australia,2138,1 (11) 500 555-0173,1996-05-11,Bachelors,Management,M,M,1,0,0,0,105888,2017-03-06,0,51.31
23455,,Jonathan,R,Perez,,4217 Fairlane Place,,Royal Oak,British Columbia,Canada,V8X,884-555-0158,1976-03-14,Partial High School,Manual,M,S,0,1,0,0,31956,2017-03-06,0,50.51
20986,,Brandi,L,Blanco,,9669 Alhambra Court,,Brisbane,Queensland,Australia,4000,1 (11) 500 555-0171,1997-04-27,High School,Clerical,F,M,0,0,0,0,83026,2017-03-06,1,50.25
26141,,Jorge,,Zhu,,3632 Ramsay Circle,,Townsville,Queensland,Australia,4810,1 (11) 500 555-0125,1986-09-27,Graduate Degree,Management,M,S,1,2,0,0,110808,2017-03-06,1,56.85
19074,,Colleen,,Shen,,"9967, rue de Terre Neuve",,Colomiers,Garonne (Haute),France,31770,1 (11) 500 555-0174,1968-05-11,Partial High School,Skilled Manual,F,M,1,1,2,2,51566,2017-03-06,1,50.94
23214,,Kaylee,W,James,,6781 San Jose Ave,,Lemon Grove,California,United States,91945,863-555-0157,1983-11-21,Bachelors,Professional,F,M,1,3,1,2,132962,2017-03-06,1,54.67
11313,,Trevor,,Jenkins,,4697 Yosemite Dr.,,Port Orchard,Washington,United States,98366,120-555-0129,1973-02-27,Graduate Degree,Professional,M,S,1,2,0,0,135064,2017-03-06,1,55.61
26113,,Caitlin,L,Rivera,,3598 Walnut Place,,Oak Bay,British Columbia,Canada,V8P,177-555-0164,1973-03-13,Graduate Degree,Professional,F,S,1,2,0,0,135997,2017-03-06,1,54.2
15865,,Isabel,M,Price,,2807 Charlotte Court,,Palo Alto,California,United States,94303,806-555-0193,1991-04-14,High School,Skilled Manual,F,S,0,1,0,0,57770,2017-03-06,0,49.68
25060,,Noah,R,Martinez,,6472 Loveridge Circle,,Coronado,California,United States,92118,854-555-0195,1993-01-17,Bachelors,Management,M,S,0,1,0,0,113290,2017-03-06,0,54.55
17902,,Ruth,D,Lopez,,Welt Platz 2,,Stuttgart,Saarland,Germany,70511,1 (11) 500 555-0118,1962-03-04,Partial College,Clerical,F,M,1,1,1,2,81214,2017-03-06,0,54.11
27898,,Trinity,,Bell,,"4, rue Philibert-Delorme",,Saint Germain en Laye,Yveline,France,78100,1 (11) 500 555-0169,1980-06-08,Bachelors,Clerical,F,M,1,2,0,2,80624,2017-03-06,0,49.58
19921,,Cara,L,Cai,,Postfach 66 07 00,,München,Hamburg,Germany,80074,1 (11) 500 555-0110,1966-02-05,Bachelors,Management,F,S,1,2,0,1,106908,2017-03-06,0,53.03
21186,,Randall,Z,Vazquez,,2168 Terra Calitina,,Brisbane,Queensland,Australia,4000,1 (11) 500 555-0144,1985-02-04,Bachelors,Skilled Manual,M,S,0,1,0,0,51796,2017-03-06,0,56.24
19129,,Carson,A,Simmons,,1673 Kiska Court,,Los Angeles,California,United States,90012,198-555-0191,1990-10-24,Graduate Degree,Clerical,M,M,1,2,1,2,80764,2017-03-06,1,52.27
25626,,Janet,R,Diaz,,149 Valley Blvd.,,Gateshead,England,United Kingdom,GA10,1 (11) 500 555-0117,1984-05-21,Partial High School,Manual,F,M,0,0,0,1,35297,2017-03-06,0,47.28
15009,,Chloe,,Patterson,,3175 Olivera Rd.,,Redmond,Washington,United States,98052,312-555-0187,1997-06-10,Partial College,Clerical,F,S,0,1,0,0,78604,2017-03-06,0,51.54
22070,,Eduardo,J,Brown,,2823 Pheasant Court,,Colma,California,United States,94014,317-555-0129,1983-07-02,Bachelors,Management,M,M,1,3,0,0,102869,2017-03-06,0,57.71
13303,,Jonathan,,Martinez,,5896 Mt. Dell,,Oak Bay,British Columbia,Canada,V8P,507-555-0129,1975-10-04,High School,Skilled Manual,M,M,1,1,1,2,62293,2017-03-06,1,54.24
27822,,Jerry,L,Lal,,3663 Palm Avenue,,York,England,United Kingdom,Y024 1GF,1 (11) 500 555-0156,1982-03-18,Partial College,Manual,M,S,0,1,0,0,34607,2017-03-06,1,48.11
14908,,Morgan,A,Mitchell,,2627 Holiday Hills Drive,,Bremerton,Washington,United States,98312,971-555-0198,1976-07-09,Partial College,Skilled Manual,F,M,1,2,1,2,53042,2017-03-06,1,50.06
27981,,Aimee,R,Hu,,9748 Sutherland Dr,,Melton,Victoria,Australia,3337,1 (11) 500 555-0141,1991-02-03,Bachelors,Management,F,S,0,1,0,0,106195,2017-03-06,0,55.41
